Index,CommunityName,BeachName,BeachCountrycode,BeachRegionalSea,BeachLength_m,BeachLocation,BeachType,EventDate,EventType,NatRef,lon_x1,lat_y1,lon_x2,lat_y2,Plastic,Rubber,Cloth,Processed Lumber,Metal,Glass,Other
731,Surfrider Foundation Europe,"6 San Cristobal Auzoa, 48350 Busturia, Espagne",ES,North-east Atlantic Ocean,81,,,20150321,Cleanup,,-2.68984,43.375,-2.68884,43.375,439,0,21,0,88,96,0
732,Swiss Litter Report,aare_bern_scheurerk,CH,,92,,,20180123,Cleanup,,7.452585674,46.97096722,7.451389792,46.97080631,0,0,0,0,0,0,0
733,Swiss Litter Report,aare_köniz_hoppej,CH,,22,,,20170828,Cleanup,,7.458170283,46.9345885,7.458467186,46.93457381,76,0,2,18,28,3,1
734,Swiss Litter Report,Lorze_Baar_BlarerE,CH,,34,,,20171223,Cleanup,,8.540236953,47.19540185,8.540653772,47.19529442,8,0,0,1,4,1,0
735,Surfrider Foundation Europe,"3 Rue Flippe Comp?re, 62600 Berck, France",FR,North-east Atlantic Ocean,70,,,20150423,Cleanup,,1.55862,50.4089,1.55962,50.4089,149,0,0,0,12,0,0
736,"Aarhus University, Denmark ","Pomlenakke, Falster",DK,Baltic Sea,190,Rural,Other (mixed),20140813,Monitoring,,12.1238985,54.80589331,12.12581345,54.80721124,75,15,0,16,21,3,0
737,Swiss Litter Report,sorne_birse_WWFJura,CH,,16,Urban,Pebbels,20170627,Cleanup,,7.360909917,47.37098681,7.360815605,47.37111893,51,0,1,20,32,13,0
738,Legambiente Onlus,Free beach Viale Circe,IT,Mediterranean Sea,100,Near river mouth,Sandy,20161009,Monitoring,,13.237588,41.284203,13.23877,41.28412,2258,31,32,57,409,63,15
739,Surfrider Foundation Europe,"D328 Vielle-Saint-Girons, 40560 Vielle-Saint-Girons, France",FR,North-east Atlantic Ocean,80,,,20150405,Cleanup,,-1.37037,43.9306,-1.36937,43.9306,922,0,0,0,0,0,0
740,Swiss Litter Report,Pfaffner_Rothrist_Ischik,CH,,14,,,20170408,Cleanup,,7.899466371,47.29856781,7.899623298,47.29864172,13,0,0,4,52,8,0
741,Swiss Litter Report,langete_langenthal_geiserm,CH,,14,Urban,Pebbels,20180330,Cleanup,,7.792304073,47.21653324,7.792293051,47.21640588,14,4,0,3,4,1,2
742,Legambiente Onlus,Area protetta dunale Legambiente Eboli (SA),IT,Unknown,100,,,20180428,Monitoring,,0.000134162,0.000363769,0.000134171,0.000363769,147,8,5,6,62,3,0
743,Independent,landrellec,FR,North-east Atlantic Ocean,101,Rural,Sandy,20160510,Cleanup,,-3.54070517,48.81584678,-3.539771301,48.81652214,70,24,4,0,12,169,1
744,Legambiente Onlus,"Spiaggia del Vascello dOro, Comacchio (FE)",IT,Mediterranean Sea,100,,,20160505,Cleanup,,12.24054,44.70613,12.24154,44.70613,168,64,4,12,24,0,4
745,Surfrider Foundation Europe,"399 Avenida Beira-Mar, Itacoati Niterói, Brésil",Int,,182,,,20150607,Cleanup,,-43.0359,-22.9736,-43.0349,-22.9736,5040,17,6,0,64,7,0
746,Swiss Litter Report,greifensee_greifensee_simmenc,CH,,53,Near river mouth,Other (mixed),20170629,Cleanup,,8.675699123,47.36357229,8.676283172,47.36384326,561,37,1,68,272,101,0
747,"Aarhus University, Denmark ",MSFD Skagen,DK,North-east Atlantic Ocean,99,Rural,Other (mixed),20150701,Monitoring,,10.58123183,57.74860901,10.58281088,57.74891554,1950,134,9,29,32,67,15
748,"Aarhus University, Denmark ",MSFD Skagen,DK,North-east Atlantic Ocean,99,Rural,Other (mixed),20150427,Monitoring,,10.58123183,57.74860901,10.58281088,57.74891554,8190,479,93,106,165,50,43
749,Independent,"carne beach, wexford",IE,North-east Atlantic Ocean,765,,,20160428,Cleanup,,-6.347260787,52.19834333,-6.346957605,52.191472,0,4,1,0,0,0,0
750,Swiss Litter Report,Sihl_Zuerich_ScherfS,CH,,19,Urban,Rocky,20180221,Cleanup,,8.5323698,47.37314949,8.532494759,47.37329486,12,0,0,0,4,6,0
751,Surfrider Foundation Europe,"Safi Morocco , 46000 Safi , Maroc",MA,,98,,,20150921,Cleanup,,-9.26179,32.3988,-9.26079,32.3988,719,0,0,0,800,210,0
752,Swiss Litter Report,aare_bern_scheurerk,CH,,92,,,20170709,Cleanup,,7.452585674,46.97096722,7.451389792,46.97080631,51,0,1,10,72,0,0
753,Swiss Litter Report,Töss_Bauma_KurthE,CH,,53,,,20170424,Cleanup,,8.867824888,47.37017566,8.867135059,47.37028189,33,1,1,7,24,23,0
754,Swiss Litter Report,Neuenburgersee_Cudrefin_MatterA,CH,,5,Rural,Sandy,20170625,Cleanup,,7.025968066,46.96270889,7.026020294,46.96272914,17,13,0,3,4,1,0
755,Legambiente Onlus,Spiaggia Marechiaro 1 - Anzio (RM),IT,Unknown,100,,,20180418,Monitoring,,0.00011326,0.000372504,0.000113269,0.000372504,506,20,0,0,204,10,0
756,Swiss Litter Report,Rhein_Hemishofen_StollL,CH,,33,Rural,Pebbels,20170418,Cleanup,,8.8280292,47.67552363,8.828461852,47.67560242,7,0,0,2,12,400,0
757,Swiss Litter Report,chriesbach_duebendorf_schneidera,CH,,51,Urban,Other (mixed),20170816,Cleanup,,8.605145777,47.40291945,8.604494396,47.40278261,8,0,0,5,0,0,0
758,DeFishGear - Slovenia,Bele skale 2 MS Monitoring ,SI,Mediterranean Sea,98,Rural,Pebbels,20170529,Monitoring,,13.62157753,45.53652475,13.62061998,45.53709824,485,13,25,9,12,11,1
759,"Aarhus University, Denmark ","Risø, Roskilde bredning",DK,North-east Atlantic Ocean,100,Rural,Sandy,20160704,Monitoring,,12.08366018,55.6922447,12.0840066,55.69312056,28,0,0,2,4,3,0
760,Legambiente Onlus,Spiaggia di Torrette Ancona (AN),IT,Unknown,100,,,20180420,Monitoring,,0.000120843,0.000391764,0.000120852,0.000391764,116,8,4,13,24,6,0
761,Independent,Chesil Cove,UK,North-east Atlantic Ocean,441,Urban,Pebbels,20160314,Cleanup,,-2.447999686,50.55702152,-2.449175666,50.56091823,26,4,0,0,2,0,0
762,Independent,ALIKI,GR,Mediterranean Sea,118,Urban,Other (mixed),20160208,Cleanup,,22.11132554,38.26409818,22.11059339,38.26498967,0,0,0,0,0,0,0
763,Legambiente Onlus,"Spiaggia della Riserva Marina di Vasto, Chieti (CH)",IT,Mediterranean Sea,100,,,20170423,Monitoring,,14.74066,42.08662,14.74166,42.08662,74,0,0,5,40,13,0
764,Swiss Litter Report,chriesbach_duebendorf_schneidera,CH,,51,Urban,Other (mixed),20170511,Cleanup,,8.605145777,47.40291945,8.604494396,47.40278261,61,0,0,8,24,3,0
765,Swiss Litter Report,Sihl_Zuerich_ScherfS,CH,,19,Urban,Rocky,20171030,Cleanup,,8.5323698,47.37314949,8.532494759,47.37329486,8,0,0,3,4,5,0
766,Legambiente Onlus,Spiaggia di Fano Sud Fano (PU),IT,Unknown,100,,,20180430,Monitoring,,0.000117161,0.000393789,0.00011717,0.000393789,81,0,5,2,4,0,0
767,Legambiente Onlus,"Spiaggia della Riserva Naturale della Lecciona, Viareggio (LU)",IT,Mediterranean Sea,100,,,20170506,Monitoring,,10.24786,43.83862,10.24886,43.83862,1155,12,2,10,41,2,0
768,Swiss Litter Report,greifensee_fällanden_meistery,CH,,57,,,20170705,Cleanup,,8.653722816,47.36093814,8.653419634,47.36140592,78,4,0,2,56,2,0
769,Legambiente Onlus,Spiaggia di Sampieri Scicli (RG),IT,Unknown,100,,,20180426,Monitoring,,0.000132434,0.000329865,0.000132443,0.000329865,127,0,4,62,96,24,0
770,Swiss Litter Report,aare_kehrsatz_stolten,CH,,46,,,20180315,Cleanup,,7.488301149,46.9235719,7.488904817,46.92352772,2,0,0,0,0,0,0
771,Independent,obzor detski lager,BG,Black Sea,2805,Near river mouth,Sandy,20151011,Cleanup,,27.88897856,42.80734896,27.89656751,42.78272613,308,13,6,19,62,8,0
772,Legambiente Onlus,Spiaggia San Marco Calatabiano (ME),IT,Unknown,100,,,20180426,Monitoring,,0.000137007,0.000339586,0.000137016,0.000339586,62,8,2,1,32,14,0
773,Swiss Litter Report,vorderrhein_disentis_schmidn,CH,,19,Rural,Rocky,20171031,Cleanup,,8.857837298,46.69827386,8.857601957,46.69822323,2,0,0,0,4,0,0
774,Surfrider Foundation Europe,Porsmilin ,FR,North-east Atlantic Ocean,71,Rural,Sandy,20161014,Monitoring,,-4.679753538,48.35565461,-4.680713613,48.35571617,0,0,0,0,0,0,0
775,Swiss Litter Report,Thur_Schoenenberg_SchaerA,CH,,96,Rural,Other (mixed),20171230,Cleanup,,9.198334671,47.52407261,9.197132864,47.52438768,14,8,1,0,16,0,0
776,Independent,long beach 1000,IE,North-east Atlantic Ocean,1134,,,20160618,Cleanup,,-8.95573703,51.5511476,-8.968669827,51.557522,0,0,0,1,0,0,0
777,Surfers Against Sewage,Mawgan Porth,UK,North-east Atlantic Ocean,216,Rural,Sandy,20150321,Cleanup,,-5.031617524,50.46576901,-5.03185596,50.46770341,145,0,0,0,0,0,0
