"Cleanup ID",Zone,State,Country,GPS,"Cleanup Type","Cleanup Date","Group Name",Adults,Children,People,Pounds,Miles,"# of bags","Cigarette Butts","Food Wrappers (candy, chips, etc.)","Take Out/Away Containers (Plastic)","Take Out/Away Containers (Foam)","Bottle Caps (Plastic)","Bottle Caps (Metal)","Lids (Plastic)","Straws, Stirrers","Forks, Knives, Spoons","Beverage Bottles (Plastic)","Beverage Bottles (Glass)","Beverage Cans","Grocery Bags (Plastic)","Other Plastic Bags","Paper Bags","Cups, Plates (Paper)","Cups, Plates (Plastic)","Cups, Plates (Foam)","Fishing Buoys, Pots & Traps","Fishing Net & Pieces","Fishing Line (1 yard/meter = 1 piece)","Rope (1 yard/meter = 1 piece)","Fishing Gear (Clean Swell)","6-Pack Holders","Other Plastic/Foam Packaging","Other Plastic Bottles (oil, bleach, etc.)","Strapping Bands","Tobacco Packaging/Wrap","Other Packaging (Clean Swell)","Appliances (refrigerators, washers, etc.)",Balloons,"Cigar Tips","Cigarette Lighters","Construction Materials",Fireworks,Tires,Toys,"Other Trash (Clean Swell)",Condoms,Diapers,Syringes,"Tampons/Tampon Applicators","Personal Hygiene (Clean Swell)","Foam Pieces","Glass Pieces","Plastic Pieces","Total Items Collected"
17116,"Pune, Maharashtra, India","Maharashtra, India",India,"18.757939379717, 73.405475914478","Land (beach, shoreline and inland)",2016-11-05,"IMF North - Lonavala Municipality",18,0,18,55.12,1.24,7,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
17117,"Pune, Maharashtra, India","Maharashtra, India",India,"18.721962597999, 73.395527601242","Land (beach, shoreline and inland)",2016-11-05,"IMF North -  Bushi Dam",35,0,35,44.09,1.24,6,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
17118,"Kolhapur, Maharashtra, India","Maharashtra, India",India,"16.707987592382, 74.218563437462","Land (beach, shoreline and inland)",2016-11-05,"IMF North - Kolhapur",25,0,25,33.07,1.24,5,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
17127,"Ratnagiri, Maharashtra, India",,India,"17.4873408867, 73.184866905212","Land (beach, shoreline and inland)",2016-11-05,"IMF North -  Guhagar",63,0,63,2061.32,3.11,105,0,0,0,0,0,0,0,0,0,0,0,0,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223
17128,"Raigad, Maharashtra, India","Maharashtra, India",India,"18.791653663786, 73.342607617378","Land (beach, shoreline and inland)",2016-11-05,"IMF North -  Khapoli",21,0,21,33.07,0.93,4,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
17129,"Panjim, Goa, India","Goa, India",India,"15.468363849704, 73.804950714111","Land (beach, shoreline and inland)",2016-11-05,"IMF North -  Caranzalem Beach",19,0,19,50.71,1.55,8,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
17130,"South Goa, Goa, India","Goa, India",India,"15.011297915556, 74.021539092064","Land (beach, shoreline and inland)",2016-11-05,"IMF North -  Paloloem Beach",21,0,21,191.8,1.86,30,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89
17131,"South Goa, Goa, India","Goa, India",India,"14.997768966753, 74.033432006836","Land (beach, shoreline and inland)",2016-11-05,"IMF North -  Patnem Beach",26,0,26,198.42,1.24,39,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87
17132,"South Goa, Goa, India","Goa, India",India,"14.986767968805, 74.038200974464","Land (beach, shoreline and inland)",2016-11-05,"IMF North -  Cancona",15,0,15,127.87,1.24,20,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72
17133,"North Goa, Goa, India","Goa, India",India,"15.606462907813, 73.732616901398","Land (beach, shoreline and inland)",2016-11-05,"IMF North -  Vagator and Chapora",15,0,15,70.55,1.86,7,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
