CommunityName,BeachName,BeachCountrycode,BeachRegionalSea,BeachLength_m,BeachLocation,BeachType,EventDate,EventType,NatRef,lon_x1,lat_y1,lon_x2,lat_y2,G1,G3,G4,G5,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,G33,G34,G35,G36,G37,G40,G41,G42,G43,G44,G45,G46,G47,G49,G50,G52,G53,G54,G56,G57,G58,G59,G60,G62,G63,G64,G65,G66,G67,G68,G69,G70,G71,G72,G73,G76,G77,G79,G80,G82,G83,G84,G85,G86,G87,G88,G89,G90,G91,G92,G93,G95,G96,G97,G98,G99,G100,G101,G102,G124,G125,G126,G127,G128,G129,G130,G131,G132,G133,G134,G137,G138,G139,G140,G141,G142,G143,G144,G145,G147,G148,G150,G151,G152,G153,G154,G155,G156,G158,G159,G160,G161,G162,G163,G164,G165,G166,G167,G171,G172,G174,G175,G176,G177,G178,G179,G180,G181,G182,G184,G186,G187,G188,G189,G190,G191,G193,G194,G195,G198,G199,G200,G201,G202,G203,G204,G205,G206,G207,G208,G210,G211,G213
Swiss Litter Report,zuerichsee_maennedorf_vanderkaadene,CH,,13,,,20170926,Cleanup,,8.687503763,47.254754,8.687641299,47.2546799,,0,0,,1,0,,0,,,0,,,,,,,0,0,0,0,0,0,0,0,,1,1,0,0,0,0,,0,,,,,,,,,0,0,0,,,,,,0,,,,,0,0,0,,,0,0,,,,,0,0,0,0,,,,0,,0,0,0,,0,0,0,,,0,0,0,,0,0,0,,0,,,0,,0,0,0,0,,,,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,0,,0,0,0,0,0,,,0,,,,0,,,0,,0,0,0,0,0,,,0,40,,,,1,0,0,0
Swiss Litter Report,zuerichsee_waedenswil_colomboc_1,CH,,14,Rural,Rocky,20180226,Cleanup,,8.691961124,47.21954684,8.692141398,47.21951575,,,,,,,,,,,,,,,,,,1,,1,,,,1,1,,6,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,8,3,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,3,,,
Surfrider Foundation Europe,"Elmina, 000000 Nouakchott, Mauritanie",Int,,115,,,20150505,Cleanup,,-10.9408,21.0079,-10.9398,21.0079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,
Independent,Lara Beach,CY,Mediterranean Sea,101,Rural,Sandy,20180321,Monitoring,,32.31190207,34.95961322,32.31134417,34.95882889,,,8,2,,,,4,,,,,,,,,,32,1,,15,,2,3,6,,,4,,,,4,,,,,,,,,,,,13,,2,,,,,,,,,,,3,,,,,,,,,,,,33,,,,,,,6,,,,,,,,,2,,,,5,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,4,2,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swiss Litter Report,Mammern swisslitterreport,DE,,375,Rural,Pebbels,20171104,Cleanup,,8.955316774,47.65583658,8.951153569,47.65394064,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,3,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,8,,,
Independent,Bloemendaal,NL,North-east Atlantic Ocean,3259,Urban,Sandy,20170714,Monitoring,,4.524631616,52.37363522,4.542742078,52.40081094,,13,31,,23,23,,9,,,,,,,,,,11,,,,,,59,,,44,,,,16,18,,,,,,,,1,,,,8,,0,,,,,,,,,,,,,,,,,,9,0,,,,1,,,,,,,,,,,,0,,,,,,,,25,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,
Swiss Litter Report,aare_rupperswil_badert,CH,,46,,,20170505,Cleanup,,8.112553668,47.41030895,8.112171449,47.41063741,,0,0,,0,0,,0,,,0,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,,,,,,,,,0,0,0,,,,,,0,,,,,0,0,0,,,0,0,,,,,1,0,0,0,,,,0,,0,0,0,,0,0,0,,,0,0,0,,0,0,0,,0,,,0,,1,0,0,0,,,,0,,0,0,0,,,1,0,0,0,0,1,0,0,0,,,,,0,,0,0,0,,0,0,0,9,0,,,0,,,,0,,,0,,0,0,0,0,0,,,0,0,,,,0,0,0,0
Swiss Litter Report,Grendelbach_Effretikon_DamboneC,CH,,14,,,20170703,Cleanup,,8.69070622,47.42564913,8.690891203,47.42564218,,0,0,,0,0,,0,,,0,,,,,,,0,0,0,0,0,0,7,0,,1,0,0,0,0,0,,0,,,,,,,,,0,0,0,,,,,,0,,,,,0,0,0,,,0,0,,,,,0,0,0,0,,,,0,,0,0,0,,0,0,0,,,0,0,0,,0,0,0,,0,,,0,,0,0,0,0,,,,0,,0,0,0,,,0,0,0,0,0,2,0,0,0,,,,,0,,0,0,0,,0,0,0,0,0,,,0,,,,0,,,0,,0,0,0,0,0,,,0,0,,,,0,0,0,0
Swiss Litter Report,limmat_dietikon_keiserp,CH,,62,Urban,Pebbels,20171028,Cleanup,,8.409539782,47.40798906,8.409789939,47.40852153,,,,,2,,,,,,1,,,,,,,,,,,1,,,,,6,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,3,,,,,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,,,
Black Sea NGO Network,Kamchiyski pyasatsi,BG,Black Sea,239,Near river mouth,Sandy,20180414,Monitoring,,27.8923167,42.9855,27.8926667,42.98335,,3,2,,17,35,3,14,3,4,1,,,,,,,54,,,,,1,8,1,,52,,1,17,,6,,,,,,,,,,,,3,,,,,,,,,,,,1,,1,,,,1,,29,13,,,,33,,,,,,,,,,,,,,2,,,1,,,39,8,,,,,,2,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,7,1,1,,,,,,11,,,
